n,E_i[|B_i|]
1,0.500000
2,1.000000
3,1.367533
4,1.666021
5,1.930841
6,2.158891
7,2.342673
8,2.526545
9,2.671947
10,2.825987
11,2.955173
12,3.073490
13,3.188502
14,3.284966
15,3.404604
16,3.471882
17,3.581208
18,3.650395
19,3.729688
20,3.817712
21,3.883253
22,3.952174
23,4.010898
24,4.092046
25,4.156816
26,4.221273
27,4.272206
28,4.321212
29,4.367983
30,4.431541
31,4.509223
32,4.535982
33,4.594524
34,4.603824
35,4.674172
36,4.744705
37,4.745220
38,4.800074
39,4.888591
40,4.876371
41,4.920498
42,4.958046
43,4.979759
44,5.044682
45,5.048944
46,5.124181
47,5.150798
48,5.202947
49,5.269480
50,5.271934
51,5.293484
52,5.304688
53,5.367333
54,5.380661
55,5.408776
56,5.454461
57,5.453215
58,5.490473
59,5.524387
60,5.565979
61,5.559796
62,5.602589
63,5.640470
64,5.708572
65,5.712425
66,5.749708
67,5.753735
68,5.766412
69,5.765879
70,5.827909
71,5.864865
72,5.868130
73,5.939685
74,5.923548
75,5.904775
76,5.946442
77,6.004513
78,5.987959
79,6.072412
80,6.093470
81,6.092083
82,6.143686
83,6.095897
84,6.140637
85,6.183605
86,6.165374
87,6.240730
88,6.238151
89,6.246565
90,6.274686
91,6.300883
92,6.336336
93,6.310273
94,6.391530
95,6.347751
96,6.378166
97,6.395357
98,6.424608
99,6.458347
100,6.489612
