n,E_i[|B_i|]
1,1.000000
2,1.746600
3,2.184372
4,2.496819
5,2.786350
6,3.036342
7,3.219016
8,3.401759
9,3.554652
10,3.730597
11,3.846721
12,3.969117
13,4.094038
14,4.205165
15,4.321429
16,4.392148
17,4.516771
18,4.604114
19,4.665087
20,4.748241
21,4.840402
22,4.913585
23,4.963049
24,5.028920
25,5.137506
26,5.208695
27,5.270709
28,5.333826
29,5.390174
30,5.465014
31,5.521166
32,5.588654
33,5.595060
34,5.633623
35,5.690372
36,5.774010
37,5.793788
38,5.862695
39,5.970677
40,5.926818
41,6.003065
42,6.025419
43,6.037704
44,6.121051
45,6.098925
46,6.248395
47,6.269896
48,6.329651
49,6.382533
50,6.428661
51,6.381564
52,6.431930
53,6.488679
54,6.517131
55,6.567200
56,6.616750
57,6.616072
58,6.653580
59,6.742518
60,6.753142
61,6.746690
62,6.822130
63,6.862811
64,6.884474
65,6.875495
66,6.931843
67,6.925261
68,7.005946
69,6.966870
70,7.043909
71,7.067994
72,7.117844
73,7.154441
74,7.108526
75,7.110209
76,7.195158
77,7.223917
78,7.244207
79,7.322785
80,7.385931
81,7.377964
82,7.397882
83,7.359155
84,7.424756
85,7.389696
86,7.452518
87,7.560864
88,7.531259
89,7.520019
90,7.545132
91,7.599410
92,7.654584
93,7.626940
94,7.704444
95,7.648348
96,7.661881
97,7.726860
98,7.755166
99,7.831758
100,7.795890
