i,P[|B_i| >= 1]
1,1.000000000000000000000000000000000000000000000000000000000000
2,1.000000000000000000000000000000000000000000000000000000000000
3,1.000000000000000000000000000000000000000000000000000000000000
4,1.000000000000000000000000000000000000000000000000000000000000
5,1.000000000000000000000000000000000000000000000000000000000000
6,1.000000000000000000000000000000000000000000000000000000000000
7,0.999998000000000053510973430093144997954368591308593750000000
8,0.999978999999999951242557472141925245523452758789062500000000
9,0.999847999999999959008789573999820277094841003417968750000000
10,0.999375000000000013322676295501878485083580017089843750000000
11,0.998151000000000010459189070388674736022949218750000000000000
12,0.995663999999999993484323113079881295561790466308593750000000
13,0.991232000000000001982414232770679518580436706542968750000000
14,0.984312999999999993505639395152684301137924194335937500000000
15,0.974731000000000014082957022765185683965682983398437500000000
16,0.962211999999999956223462049820227548480033874511718750000000
17,0.946957999999999966433961162692867219448089599609375000000000
18,0.928738999999999981227460921218153089284896850585937500000000
19,0.907999000000000000554223333892878144979476928710937500000000
20,0.885253999999999985348608788626734167337417602539062500000000
21,0.860280000000000044657610942522296682000160217285156250000000
22,0.833631000000000010885514711844734847545623779296875000000000
23,0.805749000000000048515857997699640691280364990234375000000000
24,0.776934000000000013486101124726701527833938598632812500000000
25,0.747658000000000044771297780243912711739540100097656250000000
26,0.718033999999999950070161958137759938836097717285156250000000
27,0.688468999999999997640998117276467382907867431640625000000000
28,0.659108000000000027185365070181433111429214477539062500000000
29,0.629858000000000028961721909581683576107025146484375000000000
30,0.601414000000000004142464149481384083628654479980468750000000
31,0.573255999999999987792875799641478806734085083007812500000000
32,0.545760000000000022879476091475225985050201416015625000000000
33,0.519383000000000039086955894163111224770545959472656250000000
34,0.493273000000000017006840380417997948825359344482421875000000
35,0.468405000000000015791812302268226630985736846923828125000000
36,0.444338999999999983980814022288541309535503387451171875000000
37,0.421202999999999994074073583760764449834823608398437500000000
38,0.399224000000000023291590878216084092855453491210937500000000
39,0.378043999999999991157295653465553186833858489990234375000000
40,0.357733999999999996433075466484297066926956176757812500000000
41,0.337996000000000018648194100023829378187656402587890625000000
42,0.319189999999999973745445913664298132061958312988281250000000
43,0.301398999999999972487785271368920803070068359375000000000000
44,0.284218000000000026172841671723290346562862396240234375000000
45,0.267878999999999978243181431025732308626174926757812500000000
46,0.252228999999999980996534532096120528876781463623046875000000
47,0.237401000000000000911271058612328488379716873168945312500000
48,0.223353999999999996983746086698374710977077484130859375000000
49,0.209922999999999998488320329670386854559183120727539062500000
50,0.197374999999999994892974086724279914051294326782226562500000
51,0.185551999999999994717114759623655118048191070556640625000000
52,0.174253999999999992231991541302704717963933944702148437500000
53,0.163332000000000004957811938766099046915769577026367187500000
54,0.153013000000000010114575843545026145875453948974609375000000
55,0.143303000000000013702816659133532084524631500244140625000000
56,0.134218000000000003968381179220159538090229034423828125000000
57,0.125559000000000003938183112950355280190706253051757812500000
58,0.117467000000000001969091556475177640095353126525878906250000
59,0.109980999999999995431210209062555804848670959472656250000000
60,0.102717000000000002746247673712787218391895294189453125000000
61,0.095925999999999997380761840304330689832568168640136718750000
62,0.089496000000000006102673921759560471400618553161621093750000
63,0.083504999999999995896615700985421426594257354736328125000000
64,0.077894000000000004901856698324991157278418540954589843750000
65,0.072516999999999998127719891272136010229587554931640625000000
66,0.067548999999999997934096995777508709579706192016601562500000
67,0.062778000000000000468958205601666122674942016601562500000000
68,0.058367000000000002213340621892712078988552093505859375000000
69,0.054211000000000002241318242113266023807227611541748046875000
70,0.050303000000000000491162666094169253483414649963378906250000
71,0.046767999999999997073896196297937422059476375579833984375000
72,0.043299999999999998212540930353497969917953014373779296875000
73,0.040092999999999996696420367925384198315441608428955078125000
74,0.037190000000000000834887714518117718398571014404296875000000
75,0.034404999999999998083755059496979811228811740875244140625000
76,0.031907999999999998863575711993689765222370624542236328125000
77,0.029531000000000001692868067948438692837953567504882812500000
78,0.027185999999999998361088771048343915026634931564331054687500
79,0.025075000000000000066613381477509392425417900085449218750000
80,0.023136000000000000315081294388619426172226667404174804687500
81,0.021253000000000001057376408652999089099466800689697265625000
82,0.019584000000000000712985226414275530260056257247924804687500
83,0.018013999999999998763433595172500645276159048080444335937500
84,0.016541000000000000147437617670220788568258285522460937500000
85,0.015185000000000000580646641878956870641559362411499023437500
86,0.013867000000000000853317416726895316969603300094604492187500
87,0.012675999999999999767741343248417251743376255035400390625000
88,0.011624999999999999916733273153113259468227624893188476562500
89,0.010621000000000000232369679054045263910666108131408691406250
90,0.009749999999999999986122212192185543244704604148864746093750
91,0.008933999999999999233613046101254440145567059516906738281250
92,0.008153999999999999789834781438457866897806525230407714843750
93,0.007459999999999999617528168016633571824058890342712402343750
94,0.006779999999999999568678354933126684045419096946716308593750
95,0.006177000000000000198840943710365536389872431755065917968750
96,0.005667000000000000162203583897735370555892586708068847656250
97,0.005211999999999999619304524856033822288736701011657714843750
98,0.004760000000000000341948691584548214450478553771972656250000
99,0.004310999999999999728050870118067905423231422901153564453125
100,0.003917000000000000342614825399323308374732732772827148437500
101,0.003549000000000000071276318180935049895197153091430664062500
102,0.003243999999999999921812543490773350640665739774703979492188
103,0.002922000000000000118072218668885398074053227901458740234375
104,0.002625999999999999862110300341555557679384946823120117187500
105,0.002360000000000000118516307878735460690222680568695068359375
106,0.002128999999999999816202578273305334732867777347564697265625
107,0.001928000000000000026256774532384952181018888950347900390625
108,0.001740000000000000010200174038743625715142115950584411621094
109,0.001547999999999999896915792163554215221665799617767333984375
110,0.001412999999999999976504905241370124713284894824028015136719
111,0.001273000000000000042979508840801372571149840950965881347656
112,0.001152000000000000029184987759833802556386217474937438964844
113,0.001036000000000000028504976157250894175376743078231811523438
114,0.000926999999999999981133147475276246041175909340381622314453
115,0.000849000000000000036755321008996588716399855911731719970703
116,0.000764000000000000030649094373558227744069881737232208251953
117,0.000679000000000000024542867738119866771739907562732696533203
118,0.000604999999999999960552388156287406673072837293148040771484
119,0.000541000000000000031211144779774713242659345269203186035156
120,0.000482999999999999976661030354208037351781968027353286743164
121,0.000436000000000000026856988855072927435685414820909500122070
122,0.000393999999999999981747239585772035752597730606794357299805
123,0.000355000000000000009558326352632207090209703892469406127930
124,0.000308999999999999975641012950333674780267756432294845581055
125,0.000273000000000000022162827129079687438206747174263000488281
126,0.000250999999999999975301007149042220589763019233942031860352
127,0.000231000000000000004158132171916406605305382981896400451660
128,0.000199000000000000012382456171522449039912316948175430297852
129,0.000180000000000000011336417915508434361981926485896110534668
130,0.000160000000000000013088488626245009527337970212101936340332
131,0.000136999999999999996129831925095743372366996482014656066895
