i,P[|B_i| >= 1]
1,1.000000000000000000000000000000000000000000000000000000000000
2,1.000000000000000000000000000000000000000000000000000000000000
3,1.000000000000000000000000000000000000000000000000000000000000
4,1.000000000000000000000000000000000000000000000000000000000000
5,1.000000000000000000000000000000000000000000000000000000000000
6,1.000000000000000000000000000000000000000000000000000000000000
7,1.000000000000000000000000000000000000000000000000000000000000
8,1.000000000000000000000000000000000000000000000000000000000000
9,1.000000000000000000000000000000000000000000000000000000000000
10,1.000000000000000000000000000000000000000000000000000000000000
11,1.000000000000000000000000000000000000000000000000000000000000
12,1.000000000000000000000000000000000000000000000000000000000000
13,1.000000000000000000000000000000000000000000000000000000000000
14,1.000000000000000000000000000000000000000000000000000000000000
15,1.000000000000000000000000000000000000000000000000000000000000
16,1.000000000000000000000000000000000000000000000000000000000000
17,1.000000000000000000000000000000000000000000000000000000000000
18,1.000000000000000000000000000000000000000000000000000000000000
19,1.000000000000000000000000000000000000000000000000000000000000
20,1.000000000000000000000000000000000000000000000000000000000000
21,1.000000000000000000000000000000000000000000000000000000000000
22,1.000000000000000000000000000000000000000000000000000000000000
23,1.000000000000000000000000000000000000000000000000000000000000
24,1.000000000000000000000000000000000000000000000000000000000000
25,1.000000000000000000000000000000000000000000000000000000000000
26,1.000000000000000000000000000000000000000000000000000000000000
27,1.000000000000000000000000000000000000000000000000000000000000
28,1.000000000000000000000000000000000000000000000000000000000000
29,1.000000000000000000000000000000000000000000000000000000000000
30,1.000000000000000000000000000000000000000000000000000000000000
31,1.000000000000000000000000000000000000000000000000000000000000
32,1.000000000000000000000000000000000000000000000000000000000000
33,1.000000000000000000000000000000000000000000000000000000000000
34,1.000000000000000000000000000000000000000000000000000000000000
35,1.000000000000000000000000000000000000000000000000000000000000
36,1.000000000000000000000000000000000000000000000000000000000000
37,1.000000000000000000000000000000000000000000000000000000000000
38,1.000000000000000000000000000000000000000000000000000000000000
39,1.000000000000000000000000000000000000000000000000000000000000
40,1.000000000000000000000000000000000000000000000000000000000000
41,1.000000000000000000000000000000000000000000000000000000000000
42,1.000000000000000000000000000000000000000000000000000000000000
43,1.000000000000000000000000000000000000000000000000000000000000
44,0.999990000000000045510262225434416905045509338378906250000000
45,0.999990000000000045510262225434416905045509338378906250000000
46,0.999979999999999979998221988353179767727851867675781250000000
47,0.999970000000000025508484213787596672773361206054687500000000
48,0.999950000000000005506706202140776440501213073730468750000000
49,0.999950000000000005506706202140776440501213073730468750000000
50,0.999950000000000005506706202140776440501213073730468750000000
51,0.999920000000000031015190415928373113274574279785156250000000
52,0.999809999999999976516562583128688856959342956542968750000000
53,0.999780000000000002025046796916285529732704162597656250000000
54,0.999750000000000027533531010703882202506065368652343750000000
55,0.999720000000000053042015224491478875279426574707031250000000
56,0.999639999999999973034903177904197946190834045410156250000000
57,0.999589999999999978541609380044974386692047119140625000000000
58,0.999550000000000049560355819266987964510917663574218750000000
59,0.999390000000000000568434188608080148696899414062500000000000
60,0.999299999999999966071584367455216124653816223144531250000000
61,0.999229999999999951576512557949172332882881164550781250000000
62,0.999029999999999973603337366512278094887733459472656250000000
63,0.998870000000000035633718198369024321436882019042968750000000
64,0.998650000000000037658764995285309851169586181640625000000000
65,0.998380000000000045190517994342371821403503417968750000000000
66,0.998090000000000032720492981752613559365272521972656250000000
67,0.997759999999999980246911945869214832782745361328125000000000
68,0.997439999999999993285371147067053243517875671386718750000000
69,0.997049999999999991828758538758847862482070922851562500000000
70,0.996619999999999950368589907157002016901969909667968750000000
71,0.996229999999999948911977298848796635866165161132812500000000
72,0.995770000000000043982595343550201505422592163085937500000000
73,0.995140000000000024549251520511461421847343444824218750000000
74,0.994469999999999965112351674179080873727798461914062500000000
75,0.993870000000000031192826099868398159742355346679687500000000
76,0.993280000000000051763038300123298540711402893066406250000000
77,0.992580000000000017834622667578514665365219116210937500000000
78,0.991970000000000018403056856186594814062118530273437500000000
79,0.991149999999999975486275616276543587446212768554687500000000
80,0.990210000000000034603431231516879051923751831054687500000000
81,0.989119999999999999218402990663889795541763305664062500000000
82,0.988210000000000032827074392116628587245941162109375000000000
83,0.987230000000000051940673984063323587179183959960937500000000
84,0.986299999999999954525264911353588104248046875000000000000000
85,0.985169999999999990158983109722612425684928894042968750000000
86,0.983990000000000031299407510232413187623023986816406250000000
87,0.982820000000000026929569685307797044515609741210937500000000
88,0.981670000000000042561509872030001133680343627929687500000000
89,0.980630000000000001669775429036235436797142028808593750000000
90,0.979199999999999959321428377734264358878135681152343750000000
91,0.977829999999999976978415361372753977775573730468750000000000
92,0.976029999999999953175233713409397751092910766601562500000000
93,0.974380000000000023874235921539366245269775390625000000000000
94,0.972779999999999978044229465012904256582260131835937500000000
95,0.971149999999999957722707222274038940668106079101562500000000
96,0.969520000000000048423487442050827667117118835449218750000000
97,0.967720000000000024620305794087471440434455871582031250000000
98,0.965829999999999966320274324971251189708709716796875000000000
99,0.963840000000000030055957722652237862348556518554687500000000
100,0.961860000000000048281378894898807629942893981933593750000000
101,0.959919999999999995488053627923363819718360900878906250000000
102,0.957869999999999999218402990663889795541763305664062500000000
103,0.955749999999999988453680543898371979594230651855468750000000
104,0.953300000000000036237679523765109479427337646484375000000000
105,0.951160000000000005471179065352771431207656860351562500000000
106,0.948860000000000036735059438797179609537124633789062500000000
107,0.946119999999999961026730943558504804968833923339843750000000
108,0.943400000000000016342482922482304275035858154296875000000000
109,0.940890000000000004121147867408581078052520751953125000000000
110,0.938719999999999998863131622783839702606201171875000000000000
111,0.936239999999999961133312353922519832849502563476562500000000
112,0.933429999999999981952214511693455278873443603515625000000000
113,0.930860000000000020747847884194925427436828613281250000000000
114,0.928309999999999968522956805827561765909194946289062500000000
115,0.925289999999999945856643535080365836620330810546875000000000
116,0.922499999999999986677323704498121514916419982910156250000000
117,0.919250000000000011546319456101628020405769348144531250000000
118,0.916270000000000028883562208648072555661201477050781250000000
119,0.913449999999999984190424129337770864367485046386718750000000
120,0.910279999999999978044229465012904256582260131835937500000000
121,0.907209999999999960884622396406484767794609069824218750000000
122,0.904140000000000054747317790315719321370124816894531250000000
123,0.900980000000000003090860900556435808539390563964843750000000
124,0.897560000000000024478197246935451403260231018066406250000000
125,0.894109999999999960351715344586409628391265869140625000000000
126,0.890950000000000019717560917342780157923698425292968750000000
127,0.887329999999999952109419609769247472286224365234375000000000
128,0.884190000000000031477043194172438234090805053710937500000000
129,0.880499999999999949373830077092861756682395935058593750000000
130,0.876929999999999987281285029894206672906875610351562500000000
131,0.873369999999999979678477757261134684085845947265625000000000
