n,i,|K|,|R|,|A|,|B|,|C|,|K|/n,|R|/n,|A|/n^2,|B|/n,|C|/n
1,2,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2,2,1.490800,0.000000,0.509200,0.509200,0.509200,0.745400,0.000000,0.127300,0.254600,0.254600
3,2,2.110200,0.158900,1.441000,0.889800,0.833200,0.703400,0.052967,0.160111,0.296600,0.277733
4,2,2.726600,0.323100,2.867200,1.273400,1.124600,0.681650,0.080775,0.179200,0.318350,0.281150
5,2,3.361700,0.456100,4.749400,1.638300,1.405600,0.672340,0.091220,0.189976,0.327660,0.281120
6,2,3.986700,0.589200,7.104800,2.013300,1.699300,0.664450,0.098200,0.197356,0.335550,0.283217
7,2,4.617400,0.751100,9.957000,2.382600,1.999700,0.659629,0.107300,0.203204,0.340371,0.285671
8,2,5.252600,0.863000,13.144700,2.747400,2.273300,0.656575,0.107875,0.205386,0.343425,0.284162
9,2,5.890200,0.995400,16.906500,3.109800,2.570700,0.654467,0.110600,0.208722,0.345533,0.285633
10,2,6.515500,1.130300,21.042800,3.484500,2.873000,0.651550,0.113030,0.210428,0.348450,0.287300
11,2,7.151800,1.253300,25.689700,3.848200,3.146000,0.650164,0.113936,0.212312,0.349836,0.286000
12,2,7.780100,1.397300,30.872700,4.219900,3.453500,0.648342,0.116442,0.214394,0.351658,0.287792
13,2,8.412000,1.534900,36.438900,4.588000,3.739900,0.647077,0.118069,0.215615,0.352923,0.287685
14,2,9.055800,1.636600,42.411500,4.944200,4.011400,0.646843,0.116900,0.216385,0.353157,0.286529
15,2,9.666900,1.787600,49.178100,5.333100,4.337300,0.644460,0.119173,0.218569,0.355540,0.289153
16,2,10.322100,1.928700,55.967200,5.677900,4.623500,0.645131,0.120544,0.218622,0.354869,0.288969
17,2,10.936200,2.061400,63.542900,6.063800,4.920300,0.643306,0.121259,0.219872,0.356694,0.289429
18,2,11.563000,2.164600,71.589200,6.437000,5.223400,0.642389,0.120256,0.220954,0.357611,0.290189
19,2,12.218100,2.319100,79.628600,6.781900,5.485500,0.643058,0.122058,0.220578,0.356942,0.288711
20,2,12.811000,2.420400,89.044600,7.189000,5.797100,0.640550,0.121020,0.222612,0.359450,0.289855
21,2,13.460100,2.551800,98.221000,7.539900,6.062500,0.640957,0.121514,0.222723,0.359043,0.288690
22,2,14.103800,2.721300,107.777300,7.896200,6.378500,0.641082,0.123695,0.222680,0.358918,0.289932
23,2,14.758700,2.806400,117.435700,8.241300,6.634300,0.641683,0.122017,0.221996,0.358317,0.288448
24,2,15.355600,2.975600,128.987400,8.644400,6.967200,0.639817,0.123983,0.223936,0.360183,0.290300
25,2,15.980100,3.082300,140.239100,9.019900,7.256700,0.639204,0.123292,0.224383,0.360796,0.290268
26,2,16.623600,3.229900,151.911500,9.376400,7.539000,0.639369,0.124227,0.224721,0.360631,0.289962
27,2,17.237100,3.335700,164.046600,9.762900,7.850300,0.638411,0.123544,0.225030,0.361589,0.290752
28,2,17.897000,3.517500,176.035800,10.103000,8.130300,0.639179,0.125625,0.224535,0.360821,0.290368
29,2,18.518100,3.585400,189.231200,10.481900,8.417800,0.638555,0.123634,0.225007,0.361445,0.290269
