n	c_unique	c	ln(c_unique)	d
3	6	10	1.791759469228055	46656
4	57	57	4.04305126783455	110075314176
5	124	124	4.820281565605037	619173642240000000000
6	224	224	5.4116460518550396	1.9408409961765342e+34
7	386	386	5.955837369464831	6.823819180249038e+51
8	515	515	6.244166900663736	4.878972553384522e+73
9	756	756	6.628041376179533	1.1905142326519889e+100
10	994	994	6.901737206656574	1.5676916946577623e+131
11	1274	1274	7.149916836132109	1.6804507806181987e+167
12	1491	1491	7.307202314764738	2.1285660842198824e+208
13	1781	1781	7.484930283289661	4.4801053452779037e+254
14	2191	2191	7.692113339595466	2.1450324071731928e+306
15	2510	2510	7.828038032125829	Infinity
16	2735	2735	7.913886714856082	Infinity
17	3112	3112	8.043020885298283	Infinity
18	3544	3544	8.173011311724972	Infinity
19	3879	3879	8.263332667439967	Infinity
20	4166	4166	8.334711621820917	Infinity
21	4447		8.399984990510696	Infinity
22	4806		8.477620416296414	Infinity
23	5252		8.566364235422688	Infinity
24	5706		8.649273531773446	Infinity
25	5958		8.692490133273228	Infinity
26	6199		8.73214326770192	Infinity
27	6656		8.803273982501045	Infinity
28	7060		8.862200330487287	Infinity
29	7228		8.885717651712119	Infinity
30	7488		8.921057018157429	Infinity
31	7763		8.95712413640568	Infinity
32	8217		9.013960457931187	Infinity
33	8352		9.03025631012242	Infinity
34	8636		9.063694791634697	Infinity
35	8958		9.100302266767246	Infinity
36	9112		9.117347505127018	Infinity
37	9375		9.14580185083861	Infinity
38	9510		9.160099155539436	Infinity
39	9675		9.177300517897983	Infinity
40	9930		9.203315757039219	Infinity
